,Data,5 estrelas,4 estrelas,3 estrelas,2 estrelas,1 estrela
0,23/12/2021,9,1,0,0,2
1,24/12/2021,5,0,0,0,1
2,25/12/2021,10,0,0,0,1
3,26/12/2021,8,2,0,0,0
4,27/12/2021,12,0,0,1,0
5,28/12/2021,12,1,1,1,0
6,29/12/2021,14,1,0,0,2
7,30/12/2021,3,3,0,0,3
8,31/12/2021,4,0,0,0,0
9,1/01/2022,6,2,0,0,1
10,2/01/2022,12,0,0,0,1
11,3/01/2022,16,4,0,0,2
12,4/01/2022,15,0,0,1,0
13,5/01/2022,15,1,0,0,0
14,6/01/2022,9,2,1,1,1
15,7/01/2022,16,3,1,0,0
16,8/01/2022,9,1,0,0,0
17,9/01/2022,14,1,0,0,0
18,10/01/2022,11,1,0,0,0
19,11/01/2022,9,1,0,0,0
20,12/01/2022,11,5,0,0,2
21,13/01/2022,13,4,1,1,0
22,14/01/2022,9,3,0,0,2
23,15/01/2022,15,4,1,0,1
24,16/01/2022,17,4,0,0,2
25,17/01/2022,12,1,0,0,0
26,18/01/2022,15,2,1,2,1
27,19/01/2022,13,6,1,0,1
28,20/01/2022,17,1,1,0,3
29,21/01/2022,7,1,1,0,1
30,22/01/2022,11,1,0,0,3
31,23/01/2022,12,1,0,0,0
32,24/01/2022,8,3,0,1,0
33,25/01/2022,11,3,0,1,0
34,26/01/2022,9,2,0,1,1
35,27/01/2022,12,3,3,1,2
36,28/01/2022,10,6,0,0,3
37,29/01/2022,16,3,1,1,2
38,30/01/2022,18,5,0,0,2
39,31/01/2022,17,5,0,0,2
40,1/02/2022,16,2,0,0,1
41,2/02/2022,10,3,0,1,0
42,3/02/2022,14,2,1,3,0
43,4/02/2022,9,1,0,0,1
44,5/02/2022,11,2,1,1,0
45,6/02/2022,10,4,0,0,1
46,7/02/2022,25,0,0,1,2
47,8/02/2022,12,2,1,0,0
48,9/02/2022,18,6,2,0,0
49,10/02/2022,15,2,0,0,0
50,11/02/2022,13,3,0,1,1
51,12/02/2022,16,5,1,1,2
52,13/02/2022,9,0,2,1,5
53,14/02/2022,13,2,1,1,0
