,datas,termos,posição
0,2022-06-07,beira rio,
1,2022-06-07,bolsas,9.0
2,2022-06-07,bolsas,
3,2022-06-07,calÃ§ados,4.0
4,2022-06-07,calÃ§ados,
5,2022-06-07,calÃ§ados,3.0
6,2022-06-07,colcci,6.0
7,2022-06-07,colcci,
8,2022-06-07,colcci,2.0
9,2022-06-07,colcci,
10,2022-06-07,colcci,1.0
11,2022-06-07,loja de roupas,18.0
12,2022-06-07,loja de roupas,13.0
13,2022-06-07,loja de roupas,
14,2022-06-07,loja de roupas,15.0
15,2022-06-07,loja de roupas,
16,2022-06-07,loja de roupas,8.0
17,2022-06-07,moda feminina,12.0
18,2022-06-07,moda feminina,5.0
19,2022-06-07,moda feminina,
20,2022-06-07,moda feminina,6.0
21,2022-06-07,moda feminina,
22,2022-06-07,moda feminina,4.0
23,2022-06-07,moda online,17.0
24,2022-06-07,moda online,9.0
25,2022-06-07,moda online,
26,2022-06-07,moda online,8.0
27,2022-06-07,moda online,
28,2022-06-07,moda online,7.0
29,2022-06-07,outlet,1.0
30,2022-06-07,outlet,
31,2022-06-07,outlet,
32,2022-06-07,outlet,2.0
33,2022-06-07,outlet de marcas,2.0
34,2022-06-07,outlet de marcas,1.0
35,2022-06-07,outlet de moda,2.0
36,2022-06-07,outlet de moda,
37,2022-06-07,outlet de moda,
38,2022-06-07,outlet de moda,1.0
39,2022-06-07,outlet nike,2.0
40,2022-06-07,outlet nike,
41,2022-06-07,outlet nike,
42,2022-06-07,outlet nike,1.0
43,2022-06-07,outlet premium,
44,2022-06-07,outlet premium,
45,2022-06-07,outlet premium,
46,2022-06-07,outlet premium,1.0
47,2022-06-07,privalia,2.0
48,2022-06-07,privalia,
49,2022-06-07,privalia,
50,2022-06-07,privalia,1.0
51,2022-06-07,roupas,11.0
52,2022-06-07,roupas,1.0
53,2022-06-07,roupas,
54,2022-06-07,roupas,12.0
55,2022-06-07,roupas,
56,2022-06-07,roupas,9.0
57,2022-06-07,roupas baratas,9.0
58,2022-06-07,roupas baratas,6.0
