Data,5 estrelas,4 estrelas,3 estrelas,2 estrelas,1 estrela,Observações
23 de dez. de 2021,9,1,0,0,2,
24 de dez. de 2021,5,0,0,0,1,
25 de dez. de 2021,10,0,0,0,1,
26 de dez. de 2021,8,2,0,0,0,
27 de dez. de 2021,12,0,0,1,0,
28 de dez. de 2021,12,1,1,1,0,
29 de dez. de 2021,14,1,0,0,2,
30 de dez. de 2021,3,3,0,0,3,
31 de dez. de 2021,4,0,0,0,0,
1 de jan. de 2022,6,2,0,0,1,
2 de jan. de 2022,12,0,0,0,1,
3 de jan. de 2022,16,4,0,0,2,
4 de jan. de 2022,15,0,0,1,0,
5 de jan. de 2022,15,1,0,0,0,
6 de jan. de 2022,9,2,1,1,1,
7 de jan. de 2022,16,3,1,0,0,
8 de jan. de 2022,9,1,0,0,0,
9 de jan. de 2022,14,1,0,0,0,
10 de jan. de 2022,11,1,0,0,0,
11 de jan. de 2022,9,1,0,0,0,
12 de jan. de 2022,11,5,0,0,2,
13 de jan. de 2022,13,4,1,1,0,
14 de jan. de 2022,9,3,0,0,2,
15 de jan. de 2022,15,4,1,0,1,
16 de jan. de 2022,17,4,0,0,2,
17 de jan. de 2022,12,1,0,0,0,Lançamento da versão: Início do lançamento de 2458 (4.35.0) em 1%. Lançamento da versão: Aumento do lançamento de 2458 (4.35.0) para 20%.
18 de jan. de 2022,15,2,1,2,1,
19 de jan. de 2022,13,6,1,0,1,Lançamento da versão: Aumento do lançamento de 2458 (4.35.0) para 60%.
20 de jan. de 2022,17,1,1,0,3,Lançamento da versão: Aumento do lançamento de 2458 (4.35.0) para 100%.
21 de jan. de 2022,7,1,1,0,1,
22 de jan. de 2022,11,1,0,0,3,
23 de jan. de 2022,12,1,0,0,0,
24 de jan. de 2022,8,3,0,1,0,
25 de jan. de 2022,11,3,0,1,0,
26 de jan. de 2022,9,2,0,1,1,
27 de jan. de 2022,12,3,3,1,2,
28 de jan. de 2022,10,6,0,0,3,
29 de jan. de 2022,16,3,1,1,2,
30 de jan. de 2022,18,5,0,0,2,
31 de jan. de 2022,17,5,0,0,2,
1 de fev. de 2022,16,2,0,0,1,
2 de fev. de 2022,10,3,0,1,0,Lançamento da versão: Início do lançamento de 2460 (4.36.0) em 5%. Lançamento da versão: Interrupção do lançamento de 2460 (4.36.0).
3 de fev. de 2022,14,2,1,3,0,Lançamento da versão: Início do lançamento de 2461 (4.36.1) em 5%.
4 de fev. de 2022,9,1,0,0,1,Lançamento da versão: Interrupção do lançamento de 2461 (4.36.1). Lançamento da versão: Início do lançamento de 2462 (4.36.2) em 5%.
5 de fev. de 2022,11,2,1,1,0,
6 de fev. de 2022,10,4,0,0,1,
7 de fev. de 2022,25,0,0,1,2,
8 de fev. de 2022,12,2,1,0,0,Lançamento da versão: Aumento do lançamento de 2462 (4.36.2) para 15%.
9 de fev. de 2022,18,6,2,0,0,Lançamento da versão: Aumento do lançamento de 2462 (4.36.2) para 35%.
10 de fev. de 2022,15,2,0,0,0,
11 de fev. de 2022,13,3,0,1,1,
12 de fev. de 2022,16,5,1,1,2,
13 de fev. de 2022,9,0,2,1,5,
14 de fev. de 2022,13,2,1,1,0,Lançamento da versão: Aumento do lançamento de 2462 (4.36.2) para 70%.
15 de fev. de 2022,10,3,0,0,1,
16 de fev. de 2022,21,5,1,0,0,Lançamento da versão: Aumento do lançamento de 2462 (4.36.2) para 100%.
17 de fev. de 2022,12,3,0,0,0,
18 de fev. de 2022,7,5,0,0,1,
19 de fev. de 2022,16,6,0,0,1,
20 de fev. de 2022,21,2,0,0,4,
21 de fev. de 2022,19,3,1,1,3,
22 de fev. de 2022,13,2,2,1,3,
23 de fev. de 2022,21,0,0,0,2,
24 de fev. de 2022,14,3,0,2,0,
25 de fev. de 2022,13,1,0,0,0,
26 de fev. de 2022,17,3,0,1,0,
27 de fev. de 2022,14,7,0,1,1,
28 de fev. de 2022,11,1,1,0,1,
1 de mar. de 2022,26,2,0,1,2,Lançamento da versão: Início do lançamento de 2463 (4.37.0) em 5%.
2 de mar. de 2022,17,1,1,0,0,Lançamento da versão: Aumento do lançamento de 2463 (4.37.0) para 15%.
3 de mar. de 2022,11,1,2,0,0,Lançamento da versão: Aumento do lançamento de 2463 (4.37.0) para 35%.
4 de mar. de 2022,17,4,0,0,0,Lançamento da versão: Aumento do lançamento de 2463 (4.37.0) para 70%.
5 de mar. de 2022,22,0,1,2,0,
6 de mar. de 2022,13,4,1,0,1,Lançamento da versão: Aumento do lançamento de 2463 (4.37.0) para 100%.
7 de mar. de 2022,11,3,1,0,2,
