,Term,App ID,App Name,Country,Device,Traffic,Difficulty,Competing Apps,2022-07-13,2022-07-12,2022-07-11,2022-07-10,2022-07-09,2022-07-08,2022-07-07,2022-07-06,2022-07-05,2022-07-04,2022-07-03,2022-07-02,2022-07-01,2022-06-30,2022-06-29,2022-06-28,2022-06-27,2022-06-26,2022-06-25,2022-06-24,2022-06-23,2022-06-22,2022-06-21,2022-06-20,2022-06-19,2022-06-18,2022-06-17,2022-06-16,2022-06-15,2022-06-14,2022-06-13,2022-06-12,2022-06-11,2022-06-10,2022-06-09,2022-06-08
0,beira rio,1018986822.0,Zattini: Ofertas e Descontos,BR,iPhone,0.8,8.2,30,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,beira rio,1018986822.0,Zattini: Ofertas e Descontos,BR,iPad,0.8,7.4,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,beira rio,1499965998.0,Privalia: Maior Outlet Online,BR,iPhone,0.8,8.2,30,8.0,7.0,8.0,8.0,,,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,
3,beira rio,1499965998.0,Privalia: Maior Outlet Online,BR,iPad,0.8,7.4,17,4.0,4.0,4.0,4.0,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,
4,bolsas,906698760.0,FARFETCH — Designer Shopping,BR,iPhone,0.9,6.5,927,3.0,2.0,4.0,4.0,6.0,6.0,4.0,2.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,5.0,4.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,8.0
5,bolsas,906698760.0,FARFETCH — Designer Shopping,BR,iPad,0.9,7.6,590,8.0,9.0,8.0,8.0,8.0,10.0,10.0,10.0,10.0,8.0,9.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,11.0,10.0,11.0,11.0,10.0,10.0,,9.0,10.0,11.0,10.0,9.0,9.0,10.0,12.0,11.0,11.0,9.0
6,bolsas,1440217956.0,OFF Premium,BR,iPhone,0.9,6.5,927,15.0,14.0,14.0,13.0,13.0,13.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0
7,bolsas,1440217956.0,OFF Premium,BR,iPad,0.9,7.6,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,calçados,564924168.0,Dafiti - Your smartfashion,BR,iPhone,0.8,8.4,8458,8.0,7.0,7.0,2.0,3.0,3.0,7.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,7.0,5.0,4.0,6.0,4.0,5.0,5.0,3.0,4.0,3.0,,8.0,7.0,5.0,4.0,4.0,3.0,10.0,6.0,6.0,11.0,13.0
9,calçados,564924168.0,Dafiti - Your smartfashion,BR,iPad,0.8,7.9,5175,7.0,8.0,8.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,8.0,8.0,10.0,8.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
